sample ids,ENSG00000000005.6,ENSG00000000457.14,ENSG00000000460.17,ENSG00000000938.13,ENSG00000001036.14,ENSG00000001084.13,ENSG00000001460.18,ENSG00000001461.17,ENSG00000001497.18,ENSG00000001561.7,ENSG00000001617.12,ENSG00000001629.10,ENSG00000002016.18,ENSG00000002330.14,ENSG00000002586.20,ENSG00000002587.10
TCGA-N5-A4RS-01A-11R-A28V-07,304,460,121,104,1581,703,1025,1187,2287,745,16547,1640,905,1135,4764,343
TCGA-N6-A4V9-01A-11R-A28V-07,39,737,497,108,1964,1638,612,1054,2765,1028,9739,5288,591,481,20189,210
TCGA-N5-A4RO-01A-11R-A28V-07,81,622,1104,94,1407,1652,648,873,4099,411,3530,3211,767,530,9261,266
TCGA-NA-A4R1-01A-11R-A28V-07,5,764,1498,3448,783,1644,1503,1553,4276,1410,2237,5179,1252,678,22813,27
TCGA-N9-A4Q1-01A-11R-A28V-07,46,419,365,59,3932,1142,439,276,1775,1333,2281,2275,635,390,11604,94
TCGA-N5-A4RF-01A-11R-A28V-07,402,201,292,129,4616,706,102,208,1754,291,4762,1189,186,580,17587,350
TCGA-N8-A4PP-01A-11R-A28V-07,459,642,707,1070,2499,1269,694,2421,5369,1999,4611,2988,408,800,2129,335
TCGA-N8-A4PM-01A-11R-A28V-07,404,324,280,67,2430,917,752,1041,3954,194,6060,1006,571,783,7830,191
TCGA-NF-A4WU-01A-11R-A28V-07,23,775,402,180,2655,1121,693,2292,2520,1306,2313,1841,1605,533,7470,848
TCGA-N8-A4PQ-01A-11R-A28V-07,28195,614,565,245,2381,807,514,1252,3998,564,11294,2082,620,861,8968,588
TCGA-N6-A4VG-01A-31R-A28V-07,14,804,1096,269,1320,1831,749,1642,2446,904,4855,3101,1209,290,3184,450
